pars1,popsize,population,location
1e-08,2232.13,N0,Wall
1e-08,0.00548344,N1,Wall
1e-08,21.2984,N0,Lumen
1e-08,2017.19,N1,Lumen
2e-08,2232.12,N0,Wall
2e-08,0.0109669,N1,Wall
2e-08,21.2984,N0,Lumen
2e-08,2017.19,N1,Lumen
4e-08,2232.11,N0,Wall
4e-08,0.0219336,N1,Wall
4e-08,21.2984,N0,Lumen
4e-08,2017.19,N1,Lumen
8e-08,2232.09,N0,Wall
8e-08,0.0438669,N1,Wall
8e-08,21.2984,N0,Lumen
8e-08,2017.19,N1,Lumen
1.6e-07,2232.04,N0,Wall
1.6e-07,0.0877322,N1,Wall
1.6e-07,21.2984,N0,Lumen
1.6e-07,2017.19,N1,Lumen
3.2e-07,2231.95,N0,Wall
3.2e-07,0.175458,N1,Wall
3.2e-07,21.2985,N0,Lumen
3.2e-07,2017.19,N1,Lumen
6.4e-07,2231.78,N0,Wall
6.4e-07,0.350892,N1,Wall
6.4e-07,21.2985,N0,Lumen
6.4e-07,2017.19,N1,Lumen
1.28e-06,2231.43,N0,Wall
1.28e-06,0.701684,N1,Wall
1.28e-06,21.2986,N0,Lumen
1.28e-06,2017.18,N1,Lumen
2.56e-06,2230.72,N0,Wall
2.56e-06,1.40297,N1,Wall
2.56e-06,21.2987,N0,Lumen
2.56e-06,2017.16,N1,Lumen
5.12e-06,2229.31,N0,Wall
5.12e-06,2.80436,N1,Wall
5.12e-06,21.299,N0,Lumen
5.12e-06,2017.14,N1,Lumen
1.024e-05,2226.51,N0,Wall
1.024e-05,5.60241,N1,Wall
1.024e-05,21.2996,N0,Lumen
1.024e-05,2017.08,N1,Lumen
2.048e-05,2220.9,N0,Wall
2.048e-05,11.1797,N1,Wall
2.048e-05,21.3007,N0,Lumen
2.048e-05,2016.97,N1,Lumen
4.096e-05,2209.78,N0,Wall
4.096e-05,22.2603,N1,Wall
4.096e-05,21.303,N0,Lumen
4.096e-05,2016.76,N1,Lumen
8.192e-05,2187.82,N0,Wall
8.192e-05,44.1327,N1,Wall
8.192e-05,21.3075,N0,Lumen
8.192e-05,2016.32,N1,Lumen
0.00016384,2145.03,N0,Wall
0.00016384,86.7809,N1,Wall
0.00016384,21.3166,N0,Lumen
0.00016384,2015.45,N1,Lumen
0.00032768,2063.5,N0,Wall
0.00032768,168.092,N1,Wall
0.00032768,21.3349,N0,Lumen
0.00032768,2013.7,N1,Lumen
0.00065536,1914.14,N0,Wall
0.00065536,317.264,N1,Wall
0.00065536,21.3718,N0,Lumen
0.00065536,2010.22,N1,Lumen
0.00131072,1657.09,N0,Wall
0.00131072,574.71,N1,Wall
0.00131072,21.4465,N0,Lumen
0.00131072,2003.28,N1,Lumen
0.00262144,1256.5,N0,Wall
0.00262144,978.293,N1,Wall
0.00262144,21.6003,N0,Lumen
0.00262144,1989.49,N1,Lumen
0.00524288,744.766,N0,Wall
0.00524288,1502.02,N1,Wall
0.00524288,21.9257,N0,Lumen
0.00524288,1962.22,N1,Lumen
0.0104858,338.05,N0,Wall
0.0104858,1946.18,N1,Wall
0.0104858,22.6552,N0,Lumen
0.0104858,1908.96,N1,Lumen
0.0209715,157.669,N0,Wall
0.0209715,2209.74,N1,Wall
0.0209715,24.5027,N0,Lumen
0.0209715,1806.99,N1,Lumen
0.041943,88.2735,N0,Wall
0.041943,2421.53,N1,Wall
0.041943,30.7876,N0,Lumen
0.041943,1617.26,N1,Lumen
0.0838861,63.6311,N0,Wall
0.0838861,2599.97,N1,Wall
0.0838861,125.827,N0,Lumen
0.0838861,1200.65,N1,Lumen
