popsize,population,location
1e-12,8.6268e+06,N0,Wall
1e-12,,0,N1,Wall
1e-12,,4.28e+07,N0,Lumen
1e-12,,0,N1,Lumen
1e-11,8.6268e+06,N0,Wall
1e-11,,0,N1,Wall
1e-11,,4.28e+07,N0,Lumen
1e-11,,0,N1,Lumen
1e-10,8.6268e+06,N0,Wall
1e-10,,0,N1,Wall
1e-10,,4.28e+07,N0,Lumen
1e-10,,0,N1,Lumen
1e-09,8.6268e+06,N0,Wall
1e-09,,0,N1,Wall
1e-09,,4.28e+07,N0,Lumen
1e-09,,0,N1,Lumen
1e-08,8.6268e+06,N0,Wall
1e-08,,0,N1,Wall
1e-08,,4.28e+07,N0,Lumen
1e-08,,0,N1,Lumen
1e-07,8.6268e+06,N0,Wall
1e-07,,0,N1,Wall
1e-07,,4.28e+07,N0,Lumen
1e-07,,0,N1,Lumen
1e-06,8.6268e+06,N0,Wall
1e-06,,0,N1,Wall
1e-06,,4.28e+07,N0,Lumen
1e-06,,0,N1,Lumen
1e-05,8.6268e+06,N0,Wall
1e-05,,0,N1,Wall
1e-05,,4.28e+07,N0,Lumen
1e-05,,0,N1,Lumen
0.0001,8.6268e+06,N0,Wall
0.0001,,0,N1,Wall
0.0001,,4.28e+07,N0,Lumen
0.0001,,0,N1,Lumen
