pars,popsize,population,location
1e-12,8.6268e+06,N0,Wall
1e-12,0,N1,Wall
1e-12,4.28e+07,N0,Lumen
1e-12,0,N1,Lumen
2e-12,8.6268e+06,N0,Wall
2e-12,0,N1,Wall
2e-12,4.28e+07,N0,Lumen
2e-12,0,N1,Lumen
4e-12,8.6268e+06,N0,Wall
4e-12,0,N1,Wall
4e-12,4.28e+07,N0,Lumen
4e-12,0,N1,Lumen
8e-12,8.6268e+06,N0,Wall
8e-12,0,N1,Wall
8e-12,4.28e+07,N0,Lumen
8e-12,0,N1,Lumen
1.6e-11,8.6268e+06,N0,Wall
1.6e-11,0,N1,Wall
1.6e-11,4.28e+07,N0,Lumen
1.6e-11,0,N1,Lumen
3.2e-11,8.6268e+06,N0,Wall
3.2e-11,0,N1,Wall
3.2e-11,4.28e+07,N0,Lumen
3.2e-11,0,N1,Lumen
6.4e-11,8.6268e+06,N0,Wall
6.4e-11,0,N1,Wall
6.4e-11,4.28e+07,N0,Lumen
6.4e-11,0,N1,Lumen
1.28e-10,8.6268e+06,N0,Wall
1.28e-10,0,N1,Wall
1.28e-10,4.28e+07,N0,Lumen
1.28e-10,0,N1,Lumen
2.56e-10,8.6268e+06,N0,Wall
2.56e-10,0,N1,Wall
2.56e-10,4.28e+07,N0,Lumen
2.56e-10,0,N1,Lumen
5.12e-10,8.6268e+06,N0,Wall
5.12e-10,0,N1,Wall
5.12e-10,4.28e+07,N0,Lumen
5.12e-10,0,N1,Lumen
1.024e-09,8.6268e+06,N0,Wall
1.024e-09,0,N1,Wall
1.024e-09,4.28e+07,N0,Lumen
1.024e-09,0,N1,Lumen
2.048e-09,8.6268e+06,N0,Wall
2.048e-09,0,N1,Wall
2.048e-09,4.28e+07,N0,Lumen
2.048e-09,0,N1,Lumen
4.096e-09,8.62673e+06,N0,Wall
4.096e-09,68.0607,N1,Wall
4.096e-09,4.28e+07,N0,Lumen
4.096e-09,0,N1,Lumen
8.192e-09,341692,N0,Wall
8.192e-09,7.00612e+06,N1,Wall
8.192e-09,4.28e+07,N0,Lumen
8.192e-09,2.21858,N1,Lumen
1.6384e-08,90433.8,N0,Wall
1.6384e-08,7.20106e+06,N1,Wall
1.6384e-08,4.28e+07,N0,Lumen
1.6384e-08,2.27983,N1,Lumen
3.2768e-08,36458.7,N0,Wall
3.2768e-08,7.2427e+06,N1,Wall
3.2768e-08,4.28e+07,N0,Lumen
3.2768e-08,2.29286,N1,Lumen
6.5536e-08,16613.7,N0,Wall
6.5536e-08,7.25799e+06,N1,Wall
6.5536e-08,4.28e+07,N0,Lumen
6.5536e-08,2.29759,N1,Lumen
1.31072e-07,7953.89,N0,Wall
1.31072e-07,7.26466e+06,N1,Wall
1.31072e-07,4.28e+07,N0,Lumen
1.31072e-07,2.29967,N1,Lumen
2.62144e-07,3894.16,N0,Wall
2.62144e-07,7.26779e+06,N1,Wall
2.62144e-07,4.28e+07,N0,Lumen
2.62144e-07,2.30053,N1,Lumen
5.24288e-07,1927.02,N0,Wall
5.24288e-07,7.2693e+06,N1,Wall
5.24288e-07,4.28e+07,N0,Lumen
5.24288e-07,2.30113,N1,Lumen
1.04858e-06,958.569,N0,Wall
1.04858e-06,7.27005e+06,N1,Wall
1.04858e-06,4.28e+07,N0,Lumen
1.04858e-06,2.30136,N1,Lumen
2.09715e-06,478.059,N0,Wall
2.09715e-06,7.27042e+06,N1,Wall
2.09715e-06,4.28e+07,N0,Lumen
2.09715e-06,2.30148,N1,Lumen
4.1943e-06,238.724,N0,Wall
4.1943e-06,7.2706e+06,N1,Wall
4.1943e-06,4.28e+07,N0,Lumen
4.1943e-06,2.30154,N1,Lumen
8.38861e-06,119.286,N0,Wall
8.38861e-06,7.27069e+06,N1,Wall
8.38861e-06,4.28e+07,N0,Lumen
8.38861e-06,2.30157,N1,Lumen
1.67772e-05,59.624,N0,Wall
1.67772e-05,7.27074e+06,N1,Wall
1.67772e-05,4.28e+07,N0,Lumen
1.67772e-05,2.2721,N1,Lumen
3.35544e-05,29.8072,N0,Wall
3.35544e-05,7.27076e+06,N1,Wall
3.35544e-05,4.28e+07,N0,Lumen
3.35544e-05,2.27211,N1,Lumen
6.71089e-05,14.9024,N0,Wall
6.71089e-05,7.27077e+06,N1,Wall
6.71089e-05,4.28e+07,N0,Lumen
6.71089e-05,2.27212,N1,Lumen
0.000134218,7.45092,N0,Wall
0.000134218,7.27078e+06,N1,Wall
0.000134218,4.28e+07,N0,Lumen
0.000134218,2.27212,N1,Lumen
0.000268435,3.72538,N0,Wall
0.000268435,7.27078e+06,N1,Wall
0.000268435,4.28e+07,N0,Lumen
0.000268435,2.27212,N1,Lumen
0.000536871,1.86268,N0,Wall
0.000536871,7.27078e+06,N1,Wall
0.000536871,4.28e+07,N0,Lumen
0.000536871,2.27212,N1,Lumen
0.00107374,0,N0,Wall
0.00107374,7.27078e+06,N1,Wall
0.00107374,4.28e+07,N0,Lumen
0.00107374,2.27212,N1,Lumen
0.00214748,0,N0,Wall
0.00214748,7.27078e+06,N1,Wall
0.00214748,4.28e+07,N0,Lumen
0.00214748,2.27212,N1,Lumen
0.00429497,0,N0,Wall
0.00429497,7.27078e+06,N1,Wall
0.00429497,4.28e+07,N0,Lumen
0.00429497,2.27212,N1,Lumen
0.00858993,0.116418,N0,Wall
0.00858993,7.27078e+06,N1,Wall
0.00858993,4.28e+07,N0,Lumen
0.00858993,2.27212,N1,Lumen
